iter	Passed	Remaining
406	6857	9991
407	6879	9981
408	6897	9966
409	6916	9952
410	6935	9938
411	6945	9912
412	6964	9899
413	6981	9882
414	7000	9868
415	7008	9839
416	7027	9825
417	7041	9803
418	7045	9770
419	7064	9755
420	7082	9740
421	7101	9726
422	7120	9712
423	7140	9699
424	7159	9686
425	7178	9672
426	7196	9657
427	7215	9642
428	7225	9617
429	7239	9596
430	7257	9581
431	7275	9566
432	7294	9552
433	7313	9537
434	7330	9521
435	7350	9508
436	7369	9494
437	7376	9465
438	7395	9450
439	7413	9435
440	7431	9420
441	7451	9406
442	7469	9391
443	7488	9377
444	7507	9362
445	7511	9330
446	7527	9312
447	7546	9297
448	7564	9282
449	7582	9267
450	7602	9254
451	7621	9240
452	7629	9212
453	7648	9198
454	7656	9171
455	7676	9157
456	7696	9144
457	7712	9127
458	7730	9112
459	7744	9090
460	7757	9070
461	7776	9055
462	7796	9042
463	7815	9028
464	7831	9010
465	7835	8978
466	7854	8964
467	7872	8948
468	7890	8933
469	7898	8906
470	7916	8891
471	7934	8875
472	7953	8861
473	7973	8847
474	7991	8832
475	8009	8817
476	8028	8802
477	8046	8787
478	8065	8773
479	8078	8751
480	8096	8736
481	8114	8721
482	8129	8701
483	8145	8684
484	8165	8670
485	8178	8649
486	8196	8634
487	8204	8607
488	8220	8590
489	8239	8576
490	8255	8557
491	8263	8531
492	8282	8517
493	8301	8502
494	8308	8476
495	8323	8458
496	8333	8434
497	8351	8418
498	8370	8403
499	8388	8388
500	8406	8373
501	8425	8358
502	8444	8343
503	8462	8328
504	8482	8314
505	8501	8299
506	8520	8285
507	8538	8269
508	8557	8255
509	8577	8240
510	8597	8227
511	8616	8212
512	8635	8197
513	8654	8183
514	8667	8162
515	8686	8148
516	8705	8133
517	8724	8118
518	8743	8103
519	8763	8089
520	8781	8073
521	8800	8058
522	8816	8040
523	8834	8025
524	8852	8009
525	8870	7993
526	8888	7977
527	8907	7962
528	8925	7947
529	8944	7931
530	8964	7917
531	8982	7902
532	9001	7886
533	9020	7871
534	9039	7856
535	9052	7836
536	9056	7808
537	9074	7793
538	9093	7777
539	9115	7764
540	9125	7742
541	9144	7727
542	9159	7709
543	9179	7694
544	9198	7679
545	9217	7664
546	9235	7648
547	9254	7633
548	9270	7615
549	9288	7600
550	9307	7584
551	9317	7562
552	9335	7546
553	9348	7526
554	9366	7510
555	9385	7494
556	9405	7480
557	9424	7465
558	9442	7449
559	9461	7433
560	9480	7418
561	9498	7402
562	9509	7381
563	9527	7365
564	9546	7350
565	9564	7334
566	9583	7318
567	9596	7298
568	9606	7276
569	9625	7261
570	9640	7243
571	9659	7227
572	9678	7212
573	9696	7196
574	9715	7180
575	9734	7165
576	9752	7149
577	9770	7133
578	9775	7107
579	9787	7087
580	9802	7069
581	9821	7053
582	9831	7031
